Location,Distance_to_CBD,Bedrooms,Bathrooms,Floor_Size,Price,Amenities
Kileleshwa,5.4,2,1,145,94322,"electric fence, parking, swimming pool, CCTV, garbage collection, garden"
Lavington,5.9,4,2,202,299704,"garbage collection, garden"
Utawala,22.4,3,3,219,35000,"garden, CCTV, electric fence, parking, swimming pool"
Muthaiga,7,3,3,141,364585,"garden, gym, garbage collection, electric fence"
Lavington,5.9,4,1,230,280463,"parking, garden"
Juja,32.8,2,2,174,23410,
Syokimau,24,3,3,227,50387,"electric fence, gym"
Lavington,5.9,4,2,258,255311,
Ruaka,19,2,2,145,34502,"gym, parking, CCTV, swimming pool, garbage collection"
Utawala,22.4,2,1,117,20285,"electric fence, gym, garbage collection, garden"
Syokimau,24,3,3,150,52364,"CCTV, electric fence, gym"
Syokimau,24,2,2,173,31601,"parking, garden, CCTV"
Syokimau,24,4,1,231,86609,"swimming pool, garbage collection, gym, garden, CCTV, electric fence, parking"
Ruaka,19,3,3,200,57595,"swimming pool, parking, electric fence, CCTV, gym, garbage collection"
Kileleshwa,5.4,1,1,78,67287,"garbage collection, CCTV"
Juja,32.8,1,1,52,12291,"swimming pool, CCTV, electric fence, garbage collection, parking"
Muthaiga,7,3,1,143,407606,"swimming pool, parking, CCTV"
Ruaka,19,4,1,168,70000,"parking, garbage collection, garden, swimming pool, CCTV, gym, electric fence"
Ruaka,19,1,1,76,15716,"electric fence, garden, CCTV"
Westlands,3.2,4,2,198,255660,"gym, parking, garbage collection"
Muthaiga,7,2,2,148,275277,parking
Ruiru,25.3,3,2,155,41930,garbage collection
Lavington,5.9,1,1,52,74670,
Syokimau,24,1,1,62,15842,"electric fence, gym, garden, garbage collection, swimming pool"
Muthaiga,7,2,2,105,224601,"swimming pool, CCTV"
Utawala,22.4,3,2,192,35000,garbage collection
Kileleshwa,5.4,3,3,208,116346,"electric fence, parking, garbage collection, gym, swimming pool"
Lavington,5.9,4,4,179,261839,"gym, swimming pool, garden, CCTV, electric fence, garbage collection, parking"
Juja,32.8,3,1,180,49159,"gym, garden"
Ruiru,25.3,3,1,188,53569,garden
Kilimani,4,2,1,178,75548,"CCTV, electric fence, gym"
Ruaka,19,4,1,265,48629,"garden, gym"
Syokimau,24,3,3,216,40016,
Lavington,5.9,3,1,191,92681,"electric fence, garbage collection"
Ruiru,25.3,1,1,73,19572,"electric fence, garden, garbage collection, swimming pool, CCTV, gym, parking"
Ruaka,19,4,3,202,61355,"parking, CCTV, electric fence, garden, gym, garbage collection, swimming pool"
Lavington,5.9,2,1,119,86012,"swimming pool, garden, gym"
Muthaiga,7,4,1,183,487077,"swimming pool, garbage collection, garden, CCTV"
Ruiru,25.3,4,3,163,70000,"electric fence, parking, CCTV, swimming pool, gym, garden"
Kileleshwa,5.4,2,2,147,69924,CCTV
Syokimau,24,4,3,256,82893,"swimming pool, parking, gym"
Ruiru,25.3,1,1,60,13957,
Kilimani,4,1,1,73,64448,"electric fence, swimming pool, garbage collection, CCTV, parking, gym, garden"
Juja,32.8,1,1,72,14255,"garbage collection, gym"
Utawala,22.4,3,1,210,35000,"electric fence, gym, garden, parking, CCTV, garbage collection, swimming pool"
Juja,32.8,4,3,181,64360,"gym, electric fence"
Westlands,3.2,4,4,198,306313,"swimming pool, garbage collection, parking, gym, garden, CCTV, electric fence"
Westlands,3.2,3,3,215,136310,"garden, parking, CCTV"
Ruaka,19,1,1,60,14192,parking
Ruaka,19,4,4,271,56543,"CCTV, garbage collection"
Utawala,22.4,3,3,144,35000,"garbage collection, garden, electric fence, gym, CCTV, parking, swimming pool"
Utawala,22.4,3,1,164,32988,
Lavington,5.9,3,2,199,95695,
Syokimau,24,4,2,259,67780,
Ruiru,25.3,1,1,62,13828,"garbage collection, gym"
Kilimani,4,4,1,210,190050,"parking, swimming pool, garden, garbage collection, CCTV, electric fence"
Utawala,22.4,4,4,241,41052,"garden, CCTV"
Syokimau,24,4,2,217,77178,"garbage collection, parking, swimming pool, gym"
Ruaka,19,3,2,208,60000,"garden, garbage collection, electric fence, CCTV, gym, parking"
Ruaka,19,1,1,80,21875,"swimming pool, garbage collection"
Kilimani,4,1,1,60,69277,gym
Utawala,22.4,4,3,291,37868,
Lavington,5.9,4,3,246,219244,"gym, electric fence"
Westlands,3.2,2,2,104,169576,"gym, electric fence, garden, parking, swimming pool, garbage collection, CCTV"
Westlands,3.2,4,2,286,287528,"electric fence, gym, swimming pool"
Utawala,22.4,1,1,56,13212,"electric fence, garden, parking"
Utawala,22.4,3,3,197,35000,"garbage collection, swimming pool, parking"
Kileleshwa,5.4,2,1,115,119154,"garden, parking, swimming pool, CCTV, garbage collection, electric fence"
Westlands,3.2,3,3,159,171209,"garden, parking"
Utawala,22.4,4,1,270,48952,
Kileleshwa,5.4,3,1,187,101110,"garden, swimming pool, CCTV, gym"
Syokimau,24,2,2,100,37304,"CCTV, parking, garden, garbage collection"
Ruiru,25.3,3,1,220,53336,"parking, garden, swimming pool, gym, CCTV"
Juja,32.8,1,1,59,13358,"garbage collection, garden, electric fence, parking, CCTV, swimming pool"
Westlands,3.2,4,1,173,176506,
Kilimani,4,1,1,54,68605,gym
Muthaiga,7,2,1,117,350001,"electric fence, gym, parking, garbage collection, garden"
Syokimau,24,2,2,143,24500,
Muthaiga,7,1,1,69,185000,"garbage collection, electric fence, swimming pool"
Juja,32.8,2,1,99,25704,
Syokimau,24,3,2,145,63810,"electric fence, CCTV, garbage collection, garden, gym, parking, swimming pool"
Westlands,3.2,3,3,144,140608,"garbage collection, CCTV, garden"
Kilimani,4,1,1,51,53540,
Lavington,5.9,3,1,146,134339,"gym, parking, CCTV, garbage collection, electric fence"
Muthaiga,7,4,4,218,419601,
Ruiru,25.3,2,2,134,24644,electric fence
Kilimani,4,4,2,180,192420,"electric fence, gym"
Utawala,22.4,4,3,167,48372,"garbage collection, CCTV"
Utawala,22.4,4,4,191,53752,
Lavington,5.9,4,4,228,367956,"garden, parking, swimming pool, electric fence, garbage collection, gym"
Juja,32.8,3,3,154,55000,"garden, swimming pool, parking, CCTV, garbage collection"
Westlands,3.2,1,1,63,120560,"CCTV, parking, gym, garden, garbage collection"
Westlands,3.2,1,1,61,86075,CCTV
Lavington,5.9,2,1,126,82372,"gym, garbage collection, garden, electric fence"
Ruiru,25.3,2,1,94,23914,"garden, parking, electric fence, garbage collection"
Lavington,5.9,4,4,179,242663,"gym, parking, CCTV"
Westlands,3.2,2,2,95,107575,
Ruaka,19,4,3,260,62947,CCTV
Lavington,5.9,2,2,125,102120,"garden, parking, garbage collection, CCTV, swimming pool, gym"
Ruiru,25.3,1,1,70,13415,"electric fence, CCTV, garden"
Ruiru,25.3,3,2,164,51907,
Syokimau,24,1,1,73,17969,"garbage collection, garden, swimming pool, CCTV, electric fence, gym, parking"
Juja,32.8,2,1,119,31791,"electric fence, garbage collection, swimming pool"
Ruaka,19,1,1,61,21506,"electric fence, garden, garbage collection"
Kileleshwa,5.4,2,1,170,102802,garbage collection
Kileleshwa,5.4,1,1,75,61916,"CCTV, electric fence, parking, gym, garden"
Westlands,3.2,2,2,157,165035,"electric fence, swimming pool, garden"
Utawala,22.4,4,2,263,40608,"CCTV, garden"
Muthaiga,7,3,3,221,332972,"gym, electric fence, CCTV, garbage collection, garden, swimming pool, parking"
Syokimau,24,3,2,213,47685,"CCTV, garden, swimming pool, garbage collection"
Kileleshwa,5.4,3,2,214,114791,garden
Muthaiga,7,3,3,224,241062,
Westlands,3.2,2,1,152,172627,"CCTV, gym"
Utawala,22.4,4,1,181,44997,gym
Ruiru,25.3,3,3,144,60000,"parking, garbage collection, electric fence, gym"
Muthaiga,7,3,3,202,359455,"parking, CCTV"
Utawala,22.4,2,2,154,27060,"electric fence, parking, garden, garbage collection, swimming pool"
Juja,32.8,2,1,166,26677,"CCTV, swimming pool, gym, parking"
Lavington,5.9,2,1,153,88371,
Utawala,22.4,2,2,179,24492,"garbage collection, parking, gym, swimming pool, electric fence, garden"
Ruiru,25.3,4,1,292,50999,"CCTV, gym"
Ruiru,25.3,2,1,142,22388,"gym, parking"
Westlands,3.2,2,2,101,133376,garden
Westlands,3.2,3,2,165,142624,"gym, CCTV, garden, electric fence, garbage collection, parking"
Juja,32.8,4,2,169,70000,"CCTV, garbage collection, parking, electric fence, garden, swimming pool, gym"
